rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
12,Carlos Eduardo,90917,5,293,True,1.2,0,0,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Atacante,ata
12,Fernandinho,91130,5,315,True,4.4,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
12,Everaldo ,91151,5,292,True,6.3,0,5,2,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Atacante,ata
12,Éder ,91203,3,373,True,-7.3,1,0,2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Atlético-GO,Zagueiro,zag
12,Arboleda,91573,3,276,True,3.6,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Zagueiro,zag
12,Igor Cariús,91639,2,373,True,2.7,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Lateral,lat
12,Matheus Jussa,91689,4,356,True,-0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
12,Diego Ferreira,91783,2,327,True,0.3,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Lateral,lat
12,Hayner,91856,2,292,True,3.7,1,0,1,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sport,Lateral,lat
12,Zé Ivaldo,91866,3,293,True,-1.0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Zagueiro,zag
12,André Luís,92146,5,373,True,2.1,0,2,2,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Atacante,ata
12,Jair Ventura,92180,6,315,True,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Técnico,tec
12,Thiago Lopes,92225,4,292,True,3.1,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Meia,mei
12,Raul,92496,4,280,True,2.2,0,2,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Meia,mei
12,Renato Kayzer,92696,5,293,True,-0.2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Atacante,ata
12,Deyverson,92708,5,275,True,7.0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Palmeiras,Atacante,ata
12,Mateus Vital,93108,4,264,True,0.9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
